"Player Id","Ign","Team"
16935,"8BQ","Phoenix (HK)"
9904,"8hs",""
8753,"8lax","KANAFI"
9315,"8nFiniTy","Novus Esports"
5000,"8nFiniTλ",""
12059,"909duckwizard","Krampus"
16009,"90Gnust","SHOOT FOR FUN"
13826,"911wasCTsided","TEAM KICK IT"
6703,"972","Noble Experience"
1793,"98","Fast Rush"
263,"99kamilhuj","32132123"
18680,"9ianny","4fun (LATAM)"
16749,"9Iron","Evolved Gamers"
6706,"9room",""
16672,"9rwsquadawper","Depth Esports"
4692,"9sBoy#AAA","Attacking Soul Esports"
4689,"9sBoy#AAAA","Attacking Soul Esports"
1027,"9th","Z11"
8773,"A1","969 gang"
663,"a11ex",""
7330,"a1fie","Washed"
15128,"a1ms0nz","washedfortniteboomers"
7519,"a1mstar","No Witness"
8848,"A1oe","5op"
11617,"a1s","Kingsmen V"
2655,"A1tmaN","Shikou Kouketsu"
920,"A1V","Bunkergg"
4292,"A77","Most Prolific"
8138,"aaarezmd","Pivetada"
4092,"AakRR","Team Weibo"
7955,"Aang","Marlian eSports"
17027,"Aanszo","uhrbtgjmny6"
15952,"aaraN","Team Arrow"
9530,"Aarin","IXA"
13268,"aaron","Ivy (NA)"
15969,"Aaroniero",""
1110,"AaroNuk","GGmate"
6059,"abA","Amigos do fumas"
1342,"Aba","Akademus Esport"
18781,"ABabyKiwi","ANV Frost"
8214,"abaddon","locos de lança"
3323,"Abaddon","Mineros FC Esports"
5038,"Abadzer0","Golden Gallos"
10499,"Abao","Victory Formula"
2411,"ABATMAN","Alpha Esports Pro"
12454,"ABC M4","ABC E.Sports"
11,"Abdulmalek","run it down mid"
16006,"AbduR","MAXD Pakistan"
661,"abE","Triangle Offense"
6421,"abeL","MoBuckets"
6658,"Abilities","lvl 10"
18192,"ableJ","FOGUETE"
13079,"AboBba",""
14711,"Abomization","Luccini Gaming"
3374,"Abongcs","Dewa United E-Sports"
13284,"Abram","Project A (Inactive)"
13709,"Abrex","OLD Puggers"
14656,"abrhmm","Tr4sh Esports"
18639,"Abril","Sad Girls"
12142,"Abrvxas","Slaughter House"
8100,"Absent",""
5247,"Absolut","Nekoma Esports"
566,"Absolute","Running Dogs"
9995,"ABTAGALLON","Cereal Before Milk"
2032,"abu","Team Hydro"
5152,"Abuquintero","Dark Galaxy"
4300,"AbusedNudle","Lethal Chaos"
7370,"AbussoS","Rave Party"
5025,"AbyNitro","Wölfe Esports"
6148,"abyss","StrigiManse"
1732,"Abysss",""
7231,"abyzz","Coliseo Xibalbá Esports"
17527,"AC","NTER"
11883,"Ac3trix","chord"
17294,"acApp","UwU"
1499,"ACCEL","Klaus"
4106,"AccHr","O2 Gaming"
1524,"Ace","Griffin E-Sports"
847,"Ace",""
15360,"ACE","Team Nemesis"
18335,"AceBlazeThe3rd","ZERO LAG"
9335,"Acel","Monkhas eSports"
5075,"Acelboy","TEAM WAR"
11997,"Acelelelel","Redsharks"
14850,"ACEONEFLOW","aMaze"
15399,"acervus","AD Infinitum REVITALIZE"
1863,"Acetics","Sharper Esports"
7700,"acetwo","ValoTeleTubbies"
17678,"ACF Tay","Chapecoense E-Sports"
15654,"achilles","Second Chance"
2603,"Achilles","Purple Mood E-Sport"
6782,"Achin0",""
130,"Acid","AD Razgon"
11301,"ACIDKCSGO","Clube Alcateia E-Sports"
6433,"acids","Retake"
1054,"Aclx","LP33"
7908,"acm","SPARX MIX"
6623,"AcMe","Alpha Six Gaming"
866,"Acnologia","run it down mid"
4363,"aco","Bad Company Esports"
13202,"Aconite","Quimera GG"
9896,"Acoric","Team Coxlong"
7694,"acr0nym",""
12806,"acra","Evenate Gaming"
5164,"ACrazyPotato","ESPE GANG"
8572,"Acronix","Orange Juice Gaming"
8186,"ACROSS","Team Credit"
9248,"Act","Team Aurous"
8721,"Acti","nnavgplayers"
2493,"ACTiV","RIZON"
1450,"ActiveShooter",""
17767,"AcTivGhostz","ILG JADE"
11599,"Actually",""
12020,"Acuba",""
16385,"acva","NoChance"
12592,"Âcyl","No Org No Pracc"
2000,"AD1","Juntei5"
9310,"Ada","Lobos E-sports"
12978,"Ada","Je t'aime de ouf"
17782,"Adachi",""
13545,"Adalk033","EAgles upaep"
3813,"adam","Divine"
202,"Adam","VAC Kimchi"
14230,"ADAM","Havik Esports"
14248,"adam9130","Yoooo"
1386,"Adamelo","CZECH REPRE"
4473,"AdamRS","Crowd Pleasers"
14039,"Adams","POISON CLAN"
3244,"AdAption","Janus Licht Esports"
3220,"adawg","Team Pickles"
3221,"adawg 2","Team Pickles"
16789,"adawg 3",""
4143,"add3r","ex-Serenity Black"
17615,"Adder","Fraggerz"
1049,"Addicted","SAW"
18273,"addison","God Given"
12391,"Addix",""
9351,"addyanner","Team123"
1843,"ade","Crazy Raccoon"
9659,"adept","Black Dragon Society"
16748,"AdeptDave","Evolved Gamers"
15808,"Adepth","Vicez"
5716,"Ädestile乡","Kitsune"
7415,"AdeX","Smoke After Game"
12920,"adhd","Vertigang"
8452,"ADHD1080p","1620 KINGS"
11697,"ADHDhefu","Hyperion"
14752,"ADHEY","Team Oplon"
3410,"adi","Movistar Optix"
9960,"Adina (deleted)",""
17064,"adm","UndeRank"
7401,"adm1k","Team Queso"
8996,"admiral","Nabemono Babies"
15956,"Admiral00f","Team Aquiver"
7634,"Adn","HoryJin Blue"
14309,"ADN","Gamer Guy Bath Water"
1503,"adnani",""
16303,"adome","Team Frosty"
871,"adonis",""
10967,"ADOUBE","FULLY"
10417,"Adr1nho",""
3136,"Adrean","BurstLimit"
7888,"Adrean (deleted)",""
4144,"ADRENALINE","Zero MarksMen Black"
5531,"AÐRENALiNE","get coached"
5774,"adri","INTERPOL"
290,"Adriantje","Mix Mantis"
5372,"adriantjeee (deleted)",""
16271,"Adriiano","M8 Esports"
956,"adrnking","RRQ Endeavour"
6927,"Ads","Boulette Toxic"
27,"adukaaaa","TODAK"
17171,"Aduu","Regal E-Sports"
4661,"Advance","Project CORE"
3531,"adverso","Australs"
2001,"advice",""
10226,"AdZ",""
11158,"Aefy","Nameless (NA)"
3000,"Aegis","BK ROG Esports"
18212,"AéGiS","Tropa do Desmantelo"
2975,"aegxn","United Sexy Boyz"
1811,"aeiden",""
7578,"AEOMkequeq",""
2090,"AeoZora",""
6962,"aer",""
15641,"Aerah","Creatives"
17072,"aeral","Zero2Hero Esports Academy"
18773,"Aerin","Casualties"
2378,"Aernius","F704"
14232,"Aero"," X7 Gaming"
5143,"Aero","Wild Spirits"
5142,"Aero (deleted)",""
8212,"aerofólio p meu","locos de lança"
10059,"Aeror","Team Phenix"
15562,"ærosol","Doubt the theory"
17772,"Aery","Sanctity"
2301,"AeS",""
9973,"Aesculapius","Xterminate"
18011,"Aesop","VPG Headhunters"
14678,"aesthetic","The last Dance LAS"
8373,"Aether","vemdezap"
7362,"Æther","Homies With Extra Chromies"
15032,"ÆTtz","Just is Smart"
10025,"AEX","FOXY"
1156,"AEXLY","Crack Heads"
5400,"aeyk0","Funee Monkee"
14193,"AeykO (deleted)",""
9038,"AEZ","SUS Squad"
785,"AFELLAY9",""
9529,"Affe/chelsy","IXA"
5747,"Affect","NorCal Esports"
12026,"Affi","The Noah Aiello"
8056,"afk","Bnain"
9502,"AFoxx","Angry Titans"
276,"afr0nfire",""
4767,"afroDUCK","UM ABRAÇO"
14461,"Afrokz1","LPX Gaming"
18187,"afshie","WULF Pink"
9498,"Afuro","Team Civics"
15843,"afz","ALTITUDE"
16284,"Againn","super cool komando"
5013,"Agatodemon66","Sinma eSports"
10467,"AgentHooks","Iron Division"
7232,"AggresiveFox","Coliseo Xibalbá Esports"
17132,"aggressive","BRATVA"
4421,"aGGroh","TAMU Maroon"
11934,"Aggsy","Rogue"
1634,"Agility","Big Frames"
1988,"agm","Complexity Gaming"
106,"Agnes","Gehenna Sweepers"
16453,"agogigi","eXiLe Legion"
18333,"aGoodSin","ZERO LAG"
11355,"agp","MBAPPEEK"
6522,"Agr0","Exotic (NA)"
2222,"Agressive","Purple Mood E-Sport"
12842,"AgrumaPlay","RED"
7649,"aguit4",""
2426,"Agus","TEAM NICE"
3548,"Aguuhs","TMJ"
6440,"Ah1ra","Pirate Nation"
10902,"ahad","cutie patooties"
14204,"AhB","Generetic Team Name"
18177,"ahenjoyishere","24/7"
363,"Ahfeed",""
18431,"ahlexaa","Solovinas"
8505,"Ahren","Orgless OCE"
13859,"AhrenGray","Housekeeping"
18015,"Ahu","E2S Lexious"
8445,"aia","Kindred"
8364,"aIbert","TROPA DO PHOTOSHOP"
8087,"AidreN","Adroit"
5271,"aieou","Inmortal Fire"
11223,"aika","UNLUCKY"
18057,"Aika","7S Sakura"
4234,"Aiko","ex-Serenity Black"
14511,"AikoPsycho","Flying Pigs"
17581,"Ailema","Lightality Estelle"
9278,"AIMDEM0N","hajty"
13070,"AIMDEMONS sense",""
3152,"aimDLL","BBL Esports"
11027,"aimer","iQ Purple"
11403,"aimex",""
2404,"AimGreen","GIVENCHY PARIS"
7956,"aimh","Marlian eSports"
10107,"AimHero","NO ORG (SG)"
13410,"aimhunterr","Geekay Esports"
12559,"aimix","Hashira"
12309,"aimlabel","Guardian espor"
6813,"aimless","MBVINO"
5001,"Aimless",""
10317,"aimlockEXE",""
10012,"AimNeet","RWBY"
4168,"aimsick",""
5123,"AIMtonio","Atún con Cebolla"
2570,"aimzerro (copy)",""
18050,"AinaHeho","SKAIKRU"
17842,"AiNRana","Syksy"
18204,"ainz","FIAP"
8451,"air","Mixed Reality"
18151,"Airam","Fuma Ladies"
13192,"airjordan","westSide"
8119,"Airjuna","BearClaw Gaming"
14523,"Airlocck","Natural Selection"
9320,"Airos","Rose Clan"
9019,"Airou","ShadowFox Red"
11631,"Airow","TinyTurtles"
12873,"Airwave",""
16138,"Ais","Midzy"
6641,"AiShou","XIAO"
17533,"Aisling","FUMA Gaming"
18017,"Aivy","Chivalry"
17852,"Aiwi","LAPFAP"
16663,"aixa","Team Solace"
6493,"Aixei","D2E Black"
11246,"aiycejenn","Team Quacked"
14965,"AiyvaN1","deathwish"
10807,"Aizey","Eskişehir TepeBaşi eSport"
3764,"AJ","Windstorm"
7331,"ajay","Washed"
10334,"ajdârEZ","İstanbul E-spor Kulübü"
9166,"Aji","AD Infinitum IMPERIUM"
16925,"AJJJJJJ","Looters Club eSports"
18289,"AJM","DRMZ Esports"
16994,"AJM","PANDORA ORIS"
1853,"AjMERiTO","Chakalaka"
4660,"AK","Spectral Esports Blue"
13126,"A K","Scales Esports"
8734,"ak3rz",""
3897,"Akaashi","Ascendants"
13258,"akairo","Unprepared"
114,"AkaJoey","Los Cancelados"
11241,"akaL4CE","Complexity GX3"
16474,"Akamans","Babos Gaming"
6771,"Akame","sadHours"
